id    title                            source_ai       status  project_decision  dev_stage  spec_stage  pr_status
2466  Executor stability sweep 035532  executor_sweep  merged  execute_now       merged     refined     merged   
2465  Executor stability sweep 035524  executor_sweep  merged  execute_now       merged     refined     merged   
2464  Executor stability sweep 035153  executor_sweep  merged  execute_now       merged     refined     merged   
2463  Executor stability sweep 034737  executor_sweep  merged  execute_now       merged     refined     merged   
2461  Executor stability sweep 034336  executor_sweep  merged  execute_now       merged     refined     merged   
2460  Executor stability sweep 034248  executor_sweep  merged  execute_now       merged     refined     merged   
2459  Executor stability sweep 034240  executor_sweep  merged  execute_now       merged     refined     merged   
2458  Executor stability sweep 033936  executor_sweep  merged  execute_now       merged     refined     merged   
2457  Executor stability sweep 033522  executor_sweep  merged  execute_now       merged     refined     merged   
2456  Executor stability sweep 033121  executor_sweep  merged  execute_now       merged     refined     merged   
2455  Executor stability sweep 033031  executor_sweep  merged  execute_now       merged     refined     merged   
2454  Executor stability sweep 033023  executor_sweep  merged  execute_now       merged     refined     merged   
2453  Executor stability sweep 032705  executor_sweep  merged  execute_now       merged     refined     merged   
2451  Executor stability sweep 032304  executor_sweep  merged  execute_now       merged     refined     merged   
2450  Executor stability sweep 031904  executor_sweep  merged  execute_now       merged     refined     merged   
2449  Executor stability sweep 031814  executor_sweep  merged  execute_now       merged     refined     merged   
2448  Executor stability sweep 031806  executor_sweep  merged  execute_now       merged     refined     merged   
2447  Executor stability sweep 031444  executor_sweep  merged  execute_now       merged     refined     merged   
2446  Executor stability sweep 031044  executor_sweep  merged  execute_now       merged     refined     merged   
2445  Executor stability sweep 030620  executor_sweep  merged  execute_now       merged     refined     merged   
2443  Executor stability sweep 030558  executor_sweep  merged  execute_now       merged     refined     merged   
2442  Executor stability sweep 030550  executor_sweep  merged  execute_now       merged     refined     merged   
2441  Executor stability sweep 030220  executor_sweep  merged  execute_now       merged     refined     merged   
2440  Executor stability sweep 025807  executor_sweep  merged  execute_now       merged     refined     merged   
2439  Executor stability sweep 025406  executor_sweep  merged  execute_now       merged     refined     merged   
2438  Executor stability sweep 025324  executor_sweep  merged  execute_now       merged     refined     merged   
2436  Executor stability sweep 025316  executor_sweep  merged  execute_now       merged     refined     merged   
2435  Executor stability sweep 025008  executor_sweep  merged  execute_now       merged     refined     merged   
2434  Executor stability sweep 025006  executor_sweep  merged  execute_now       merged     refined     merged   
2433  Executor stability sweep 025000  executor_sweep  merged  execute_now       merged     refined     merged   
2431  Executor stability sweep 024546  executor_sweep  merged  execute_now       merged     refined     merged   
2430  Executor stability sweep 024146  executor_sweep  merged  execute_now       merged     refined     merged   
2429  Executor stability sweep 023737  executor_sweep  merged  execute_now       merged     refined     merged   
2428  Executor stability sweep 023718  executor_sweep  merged  execute_now       merged     refined     merged   
2427  Executor stability sweep 023710  executor_sweep  merged  execute_now       merged     refined     merged   
2426  Executor stability sweep 023337  executor_sweep  merged  execute_now       merged     refined     merged   
2425  Executor stability sweep 022937  executor_sweep  merged  execute_now       merged     refined     merged   
2423  Executor stability sweep 022519  executor_sweep  merged  execute_now       merged     refined     merged   
2422  Executor stability sweep 022501  executor_sweep  merged  execute_now       merged     refined     merged   
2421  Executor stability sweep 022453  executor_sweep  merged  execute_now       merged     refined     merged   
